"","bi_week_fac","EER-1","EFF-XA2N","EHR-1","EEF-1","EET-1","EFR-XB1S","EHF-XA3S","EHT-XA5S","EHT-XB5S","EHT-XC6S","EWF-XA2S","EWR-1","EWT-1","KFF-XD6S","KFF-XE8S","KFR-XE1S","KFR-XE2S","KHF-XD4S","KHR-XD2N","KHR-XE2N","KHT-XD3S","KHT-XD6N","KHT-XE5S","KHT-XE6S"
"1","11",-17.8634366666667,-8.95325,-29.9101236257143,-5.24741666666666,-9.36822916666666,-34.9060833333333,-3.84285256333334,0.694628787333338,-17.3401666666667,-118.11,-10.62925,-5.42644999999999,-35.9995833333333,-19.1379166666667,1.7875,-44.0545833333333,-3.40375,-33.8829166666667,-28.06625,-55.2029166666667,-39.4420833333333,-27.48875,-8.20208333333333,-5.01541666666667
"2","12",-29.9284366666667,-16.25575,-44.7267902923809,-1.64908333333333,-48.7382291666667,-40.6210833333333,-5.32451923,-36.1353712126667,-62.531,-118.11,-20.15425,-11.2472833333333,-75.07325,-37.4470833333333,-6.36166666666666,-52.7329166666667,-5.83791666666667,NA,-41.1895833333333,-60.4945833333333,NA,-69.8220833333333,-30.63875,-24.3829166666667
"3","13",-38.92427,-24.82825,-59.5434569590476,-5.03575,-86.4148958333333,-43.9019166666667,-21.4111858966667,-67.673704546,-88.0368333333333,NA,-40.2625833333333,-18.76145,-91.58325,-86.3420833333333,-28.9041666666667,-55.69625,-4.56791666666667,-81.965,-55.2654166666667,-62.92875,NA,-96.8095833333334,-73.7129166666667,-74.33625
"4","14",-43.9896866666667,-31.2303333333333,-67.8997069590476,-17.712,-90.1386458333333,-47.1323333333333,-53.3724358966667,-106.690787879333,-109.02975,NA,-53.3971666666667,-21.0035333333333,-95.4553333333333,-97.4333333333333,-50.3845833333333,-60.4783333333333,-7.3975,NA,-61.0125,-66.285,NA,-95.3550000166667,-92.6708333333333,-102.376666666667
"5","15",-43.12302,-31.497,-67.5663736257143,-25.1453333333333,-88.6803125,-45.6323333333333,-79.1724358966667,-106.940232312667,-123.92975,NA,-52.7855,-22.5035333333333,-95.622,-97.4333333333333,-50.3845833333333,-61.445,-8.29750000000001,-81.965,-59.6458333333333,-66.6516666666667,NA,-95.3550000166667,-92.5708333333333,-102.376666666667
"6","16",-43.2946866666667,-36.3686666666667,-70.0047069590476,-7.68366666666667,-89.5436458333333,-46.2373333333333,-67.1441025633333,-106.940232312667,-128.32475,NA,-52.7855,-25.0085333333333,-95.0936666666667,-97.4333333333333,-50.3845833333333,-60.3833333333333,-7.0025,-81.965,-59.5841666666667,-65.6566666666667,NA,-95.3550000166667,-91.1091666666667,-102.376666666667
"7","17",-41.82802,-32.6686666666667,-66.6380402923809,-2.417,-88.6803125,-46.104,-67.1441025633333,-106.940232312667,-128.32475,NA,-52.7855,-23.6752,-93.387,NA,NA,-61.45,-8.9025,NA,-60.8841666666667,-66.49,NA,-95.3550000166667,-93.2091666666666,NA
"8","18",-36.62802,-30.602,-58.5713736257143,-2.917,-88.6803125,-47.2373333333333,-67.1441025633333,NA,-128.32475,NA,-52.7855,-22.6085333333333,-93.387,NA,NA,-61.3833333333333,-10.0358333333333,NA,-57.5841666666667,-65.7566666666667,NA,-95.3550000166667,-88.2758333333333,-102.376666666667
"9","19",-33.1613533333333,-23.102,-57.9713736257143,-1.217,-88.6803125,-47.004,-67.1441025633333,-106.940232312667,-128.32475,NA,-52.7855,-20.1752,-93.387,-97.4333333333333,NA,-65.0166666666667,-9.4025,-81.965,-55.7175,-65.89,-81.42,-95.3550000166667,-86.8425,-102.376666666667
"10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.8166666666667,-9.9025,NA,-53.9508333333333,-64.19,NA,NA,-82.6758333333333,-102.376666666667
"13","23",-25.72802,-8.03533333333333,-41.9047069590476,-0.616999999999996,-72.1103125,-45.5373333333333,-16.3774358966667,-22.962454546,-42.1014166666667,NA,-32.5688333333333,-15.6085333333333,-48.9936666666667,-18.3,-27.8845833333333,-57.45,-9.46916666666666,NA,-47.2508333333333,-58.0566666666667,-81.42,-95.3550000166667,-47.8758333333333,NA
"27","37",-2.76135333333333,NA,-4.33804029238095,NA,1.8896875,NA,0.0892307700000003,5.17087878733334,NA,NA,NA,17.5914666666667,35.4063333333333,-5.7,NA,NA,NA,-14.4416666666667,NA,NA,NA,1.97833333333333,-1.57583333333333,1.85666666666667
"28","38",-14.6201033333333,-5.22741666666667,-9.16345695904761,-1.65033333333333,-28.0769791666667,NA,-4.27347756333334,-1.22912121266667,NA,NA,-17.5355,10.6581333333333,-93.387,-7.32541666666667,-1.80999999999999,-18.80875,1.90541666666666,-15.1670833333333,NA,NA,-19.97875,-8.41375000000001,-3.06791666666667,-0.235416666666664
"29","39",-33.6284366666667,-17.56075,-36.7634569590476,-18.5090833333333,NA,-35.7294166666667,-6.90285256333333,-55.421204546,NA,NA,-21.6275833333333,1.46605,-77.06075,-23.2254166666667,-16.1433333333333,-46.5754166666667,-3.99458333333334,-75.83375,NA,NA,-64.5454166666667,-56.91375,-17.1345833333333,-5.00208333333333
"31","41",-38.1013533333333,-25.6753333333333,-54.0780402923809,-49.057,-87.6503125,-41.044,-40.0841025633333,-91.4691212126667,NA,NA,-46.7755,-17.7152,-91.267,-82.1733333333333,-44.69125,-56.1233333333333,-4.77583333333333,NA,NA,NA,-81.42,-95.6616666666667,-67.7491666666667,-65.9833333333333
"32","42",-38.8446866666667,-28.5853333333333,-60.6547069590476,-55.8003333333333,-87.2603125,NA,-63.36076923,NA,NA,NA,-52.7855,-19.8918666666667,-93.0436666666667,-97.4333333333333,-50.3845833333333,-58.1,-6.81916666666666,-81.965,NA,NA,-81.42,-95.3550000166667,NA,-87.1266666666667
"33","43",-39.41802,-28.9586666666667,-62.7947069590476,-39.4736666666667,-88.6803125,NA,-67.1441025633333,NA,NA,NA,NA,-21.5652,-93.387,-97.4333333333333,NA,-62.5066666666667,-8.22583333333334,NA,NA,NA,NA,NA,NA,-102.376666666667
"34","44",-39.2513533333333,-28.992,-62.6613736257143,-20.007,NA,NA,NA,-106.940232312667,NA,NA,NA,-21.4652,NA,NA,NA,-63.04,-7.95916666666667,NA,17.4591666666667,NA,NA,NA,-90.8991666666667,-102.376666666667
"35","45",-25.0846866666667,-14.4586666666667,-50.328040292381,-1.707,-88.6803125,NA,-22.4674358966667,-106.940232312667,NA,NA,-52.7855,-18.2318666666667,-73.7836666666667,NA,-50.3845833333333,-60.0733333333333,-7.92583333333334,NA,NA,NA,NA,-95.3550000166667,NA,-102.376666666667
"36","46",-23.91802,-82.9586666666667,-41.8947069590476,-3.24033333333333,NA,NA,-18.5341025633333,-106.940232312667,NA,NA,-44.2921666666667,-16.1985333333333,-59.617,NA,NA,-57.6733333333333,-7.82583333333333,NA,NA,NA,NA,NA,NA,-102.376666666667
"37","47",-22.41802,-8.12533333333334,-39.9280402923809,-5.007,-84.0336458333333,-45.594,-13.40076923,-42.852454546,NA,NA,-34.4255,-13.5652,-53.4836666666667,NA,NA,-57.44,-7.82583333333333,NA,NA,NA,NA,NA,-70.1325,NA
